TCP speed;;;;;;Joint Angles;;;;;;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;
0;0;0;0;0;0;-1.15192;-1.9198;-2.2689;-1.8325;1.57;1.57;
0;0;0;0;0;0;-1.15192;-1.9198;-2.2689;-1.8325;1.57;1.57;
0;0;0;0;0;0;-1.15192;-1.9198;-2.2689;-1.8325;1.57;1.57;
0;0;0;0;0;0;-1.15192;-1.9198;-2.2689;-1.8325;1.57;1.57;
0.0606558;-0.136236;-0.0797859;-0.456773;-0.203367;-1.02552e-10;-1.15192;-1.9198;-2.26805;-1.83122;1.57;1.57;
0.121825;-0.273626;-0.15824;-0.913547;-0.406734;-2.05103e-10;-1.15192;-1.9198;-2.2656;-1.82755;1.57;1.57;
0.25179;-0.565534;-0.31086;-1.85754;-0.827026;-4.17044e-10;-1.15192;-1.9198;-2.2559;-1.81299;1.57;1.57;
0.25179;-0.565534;-0.31086;-1.85754;-0.827026;-4.17044e-10;-1.15192;-1.9198;-2.2559;-1.81299;1.57;1.57;
0.32166;-0.722467;-0.381745;-2.34477;-1.04395;-5.26432e-10;-1.15192;-1.9198;-2.24854;-1.80196;1.57;1.57;
0.394078;-0.885121;-0.444906;-2.83199;-1.26088;-6.35821e-10;-1.15192;-1.9198;-2.23947;-1.78836;1.57;1.57;
0.469449;-1.05441;-0.498425;-3.31922;-1.4778;-7.45209e-10;-1.15192;-1.9198;-2.2287;-1.7722;1.57;1.57;
0.513218;-1.15272;-0.505836;-3.56419;-1.58687;-8.00208e-10;-1.15192;-1.9198;-2.21622;-1.75348;1.57;1.57;
0.518854;-1.16537;-0.470774;-3.5395;-1.57587;-7.94664e-10;-1.15192;-1.9198;-2.20307;-1.73375;1.57;1.57;
0.523749;-1.17637;-0.435773;-3.5141;-1.56457;-7.88963e-10;-1.15192;-1.9198;-2.19013;-1.71434;1.57;1.57;
0.528197;-1.18636;-0.401035;-3.48972;-1.55371;-7.83488e-10;-1.15192;-1.9198;-2.17736;-1.69519;1.57;1.57;
0.532227;-1.19541;-0.366481;-3.46624;-1.54326;-7.78218e-10;-1.15192;-1.9198;-2.16473;-1.67625;1.57;1.57;
0.535856;-1.20356;-0.332054;-3.44357;-1.53316;-7.73127e-10;-1.15192;-1.9198;-2.15221;-1.65746;1.57;1.57;
0.539059;-1.21076;-0.297913;-3.42161;-1.52339;-7.68198e-10;-1.15192;-1.9198;-2.13984;-1.63891;1.57;1.57;
0.541901;-1.21714;-0.26389;-3.40044;-1.51396;-7.63445e-10;-1.15192;-1.9198;-2.12755;-1.62048;1.57;1.57;
0.544359;-1.22266;-0.230061;-3.3799;-1.50481;-7.58832e-10;-1.15192;-1.9198;-2.11537;-1.60221;1.57;1.57;
0.546452;-1.22736;-0.19643;-3.36;-1.49596;-7.54364e-10;-1.15192;-1.9198;-2.10329;-1.58409;1.57;1.57;
0.548188;-1.23126;-0.163001;-3.34071;-1.48737;-7.50034e-10;-1.15192;-1.9198;-2.0913;-1.5661;1.57;1.57;
0.549578;-1.23438;-0.129778;-3.322;-1.47904;-7.45834e-10;-1.15192;-1.9198;-2.0794;-1.54824;1.57;1.57;
0.55063;-1.23674;-0.0967682;-3.30385;-1.47096;-7.41759e-10;-1.15192;-1.9198;-2.06757;-1.53051;1.57;1.57;
0.551351;-1.23836;-0.0639766;-3.28623;-1.46311;-7.37803e-10;-1.15192;-1.9198;-2.05582;-1.51289;1.57;1.57;
0.551749;-1.23926;-0.0314127;-3.26912;-1.4555;-7.33961e-10;-1.15192;-1.9198;-2.04415;-1.49538;1.57;1.57;
0.551831;-1.23944;0.000917069;-3.2525;-1.4481;-7.3023e-10;-1.15192;-1.9198;-2.03255;-1.47797;1.57;1.57;
0.551604;-1.23893;0.0330047;-3.23635;-1.44091;-7.26604e-10;-1.15192;-1.9198;-2.02101;-1.46067;1.57;1.57;
0.551074;-1.23774;0.0648408;-3.22066;-1.43392;-7.2308e-10;-1.15192;-1.9198;-2.00954;-1.44346;1.57;1.57;
0.550248;-1.23589;0.0964195;-3.2054;-1.42712;-7.19655e-10;-1.15192;-1.9198;-1.99813;-1.42635;1.57;1.57;
0.549133;-1.23338;0.127732;-3.19056;-1.42052;-7.16324e-10;-1.15192;-1.9198;-1.98678;-1.40933;1.57;1.57;
0.547734;-1.23024;0.158769;-3.17613;-1.41409;-7.13084e-10;-1.15192;-1.9198;-1.97549;-1.39239;1.57;1.57;
0.546057;-1.22647;0.189525;-3.1621;-1.40785;-7.09934e-10;-1.15192;-1.9198;-1.96426;-1.37554;1.57;1.57;
0.544109;-1.2221;0.219992;-3.14845;-1.40177;-7.06869e-10;-1.15192;-1.9198;-1.95308;-1.35877;1.57;1.57;
0.541893;-1.21712;0.250162;-3.13517;-1.39586;-7.03888e-10;-1.15192;-1.9198;-1.94195;-1.34208;1.57;1.57;
0.539417;-1.21156;0.280028;-3.12225;-1.3901;-7.00987e-10;-1.15192;-1.9198;-1.93087;-1.32546;1.57;1.57;
0.536686;-1.20543;0.309583;-3.10968;-1.38451;-6.98164e-10;-1.15192;-1.9198;-1.91985;-1.30892;1.57;1.57;
0.533704;-1.19873;0.338821;-3.09744;-1.37906;-6.95418e-10;-1.15192;-1.9198;-1.90887;-1.29245;1.57;1.57;
0.530478;-1.19148;0.367735;-3.08554;-1.37376;-6.92745e-10;-1.15192;-1.9198;-1.89793;-1.27605;1.57;1.57;
0.527011;-1.1837;0.396318;-3.07395;-1.3686;-6.90143e-10;-1.15192;-1.9198;-1.88704;-1.25972;1.57;1.57;
0.527011;-1.1837;0.396318;-3.07395;-1.3686;-6.90143e-10;-1.15192;-1.9198;-1.88704;-1.25972;1.57;1.57;
0.52331;-1.17538;0.424564;-3.06268;-1.36358;-6.87612e-10;-1.15192;-1.9198;-1.8762;-1.24345;1.57;1.57;
0.515221;-1.15721;0.480021;-3.04103;-1.35394;-6.82751e-10;-1.15192;-1.9198;-1.85463;-1.2111;1.57;1.57;
0.510844;-1.14738;0.50722;-3.03063;-1.34931;-6.80418e-10;-1.15192;-1.9198;-1.84391;-1.19502;1.57;1.57;
0.506251;-1.13707;0.53406;-3.02052;-1.34481;-6.78148e-10;-1.15192;-1.9198;-1.83323;-1.17899;1.57;1.57;
0.501447;-1.12628;0.560534;-3.01068;-1.34043;-6.75938e-10;-1.15192;-1.9198;-1.82258;-1.16302;1.57;1.57;
0.496436;-1.11502;0.586636;-3.00111;-1.33617;-6.73789e-10;-1.15192;-1.9198;-1.81197;-1.14711;1.57;1.57;
0.491223;-1.10331;0.612364;-2.99179;-1.33202;-6.71698e-10;-1.15192;-1.9198;-1.8014;-1.13125;1.57;1.57;
