TCP speed;;;;;;Joint Angles;;;;;;TCP position;;;;;;Release;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;x;y;z;rx;ry;rz;
2.13187e-06;-3.99645e-05;-8.1779e-06;-4.99067e-05;-5.54287e-06;0.000195519;-1.15189;-1.57515;-2.26882;-1.83256;1.56994;1.57;-0.0469627;-0.165357;0.0279745;-1.22618;-1.89047;-0.640857;ack recived;
-4.02477e-07;-3.42787e-05;-9.83798e-06;-3.82334e-05;-3.36362e-07;0.000195521;-1.15191;-1.57515;-2.26883;-1.83253;1.56998;1.57002;-0.0469565;-0.165355;0.0279668;-1.22626;-1.89045;-0.640881;ack recived;
-4.0077e-07;-3.42796e-05;-9.83713e-06;-3.82339e-05;-3.32477e-07;0.00019552;-1.15191;-1.57513;-2.2688;-1.83255;1.56996;1.57003;-0.0469571;-0.165369;0.0279788;-1.22627;-1.89048;-0.640832;ack recived;
-4.01459e-07;-3.42796e-05;-9.83799e-06;-3.82308e-05;-3.40318e-07;0.000195522;-1.15189;-1.57515;-2.26881;-1.83259;1.56996;1.57003;-0.0469595;-0.165356;0.0279801;-1.22621;-1.89043;-0.640855;ack recived;
0.143058;-0.321023;-0.00687757;-0.866315;-0.386107;9.04205e-06;-1.15198;-1.57517;-2.26808;-1.83135;1.56976;1.57009;-0.0467615;-0.16596;0.027863;-1.22728;-1.89195;-0.639704;ack recived;
0.200591;-0.455253;-0.0336583;-1.24857;-0.556193;-0.0148255;-1.1522;-1.57566;-2.26418;-1.82749;1.56973;1.5704;-0.0456793;-0.168484;0.0276604;-1.23163;-1.89759;-0.63596;ack recived;
0.332064;-0.747868;-0.0675619;-2.10187;-0.936404;-0.0071829;-1.15214;-1.57623;-2.2566;-1.81831;1.56975;1.57034;-0.0432908;-0.173809;0.0270924;-1.24019;-1.91097;-0.627769;ack recived;
0.462504;-1.03354;0.0056059;-2.81189;-1.2524;0.0145722;-1.15198;-1.5762;-2.2461;-1.80567;1.56966;1.56998;-0.0399696;-0.181271;0.0265589;-1.252;-1.93032;-0.615889;ack recived;
0.392344;-0.889736;0.0183576;-2.3743;-1.04412;0.0279402;-1.15175;-1.57611;-2.23315;-1.79509;1.56962;1.57002;-0.0363123;-0.189412;0.0268892;-1.26434;-1.94974;-0.603425;ack recived;
0.581459;-1.28018;0.0644027;-3.48411;-1.56573;0.0177193;-1.15161;-1.57535;-2.22018;-1.78135;1.56976;1.57015;-0.0322674;-0.198327;0.0270496;-1.27897;-1.97214;-0.588933;ack recived;
0.605569;-1.37133;0.114408;-3.69204;-1.62914;0.0227405;-1.15173;-1.57508;-2.20534;-1.76743;1.56984;1.57002;-0.0278982;-0.208125;0.0276617;-1.29437;-1.99579;-0.573556;ack recived;
