TCP speed;;;;;;Joint Angles;;;;;;TCP position;;;;;;Release;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;x;y;z;rx;ry;rz;
-2.06117e-05;-1.07548e-05;-2.32832e-05;6.26558e-05;2.7711e-05;7.51138e-05;-0.960003;-1.52673;-2.26882;-1.83256;1.57003;1.57;-0.0129161;-0.173577;0.034423;-1.05072;-2.02092;-0.517065;
-2.06112e-05;-1.07555e-05;-2.32829e-05;5.17362e-05;4.32587e-05;6.05047e-05;-0.959991;-1.52674;-2.26881;-1.8326;1.57;1.56997;-0.0129213;-0.173578;0.034429;-1.05066;-2.02091;-0.517061;
-2.02042e-05;-1.13321e-05;-2.15626e-05;4.12613e-05;3.59316e-05;6.05251e-05;-0.959991;-1.52671;-2.26882;-1.83256;1.57;1.56998;-0.0129187;-0.173582;0.0344262;-1.05069;-2.02096;-0.517029;
-2.02044e-05;-1.13329e-05;-2.15646e-05;4.12598e-05;3.59327e-05;6.0525e-05;-0.959979;-1.52674;-2.26877;-1.83256;1.57002;1.56996;-0.0129018;-0.173598;0.0344288;-1.05067;-2.02099;-0.517043;
0.204242;-0.291473;0.00633826;-0.793532;-0.556149;-0.00012448;-0.960062;-1.52678;-2.26809;-1.83144;1.56981;1.57003;-0.0126185;-0.174118;0.034351;-1.05151;-2.02247;-0.51607;
0.284116;-0.40976;-0.0100681;-1.12566;-0.788594;-0.0173899;-0.960278;-1.52721;-2.26414;-1.8278;1.56976;1.57034;-0.0110874;-0.176378;0.0343356;-1.05527;-2.02843;-0.512887;
0.468343;-0.670471;-0.0295263;-1.87767;-1.3155;-0.00793835;-0.960254;-1.52775;-2.25659;-1.81887;1.56991;1.57032;-0.00773762;-0.181086;0.0340837;-1.06256;-2.04235;-0.506119;
0.647006;-0.925024;0.0571237;-2.51766;-1.76735;0.0261325;-0.960158;-1.52778;-2.24613;-1.80632;1.56973;1.56989;-0.00310052;-0.187765;0.0339432;-1.07236;-2.06269;-0.496001;
0.762109;-1.09286;0.103598;-2.93544;-2.04843;0.0230844;-0.960074;-1.52769;-2.23256;-1.79431;1.56957;1.57003;0.00234605;-0.195589;0.0346077;-1.08395;-2.08494;-0.484285;
0.915095;-1.29514;0.146108;-3.51284;-2.48149;-0.0096154;-0.96011;-1.52749;-2.21645;-1.77872;1.56985;1.57024;0.00911611;-0.20513;0.035511;-1.09878;-2.11248;-0.470043;
0.847868;-1.2056;0.174346;-3.25205;-2.28814;-0.0016491;-0.959979;-1.52737;-2.19826;-1.76062;1.57003;1.56982;0.0168708;-0.216069;0.0368325;-1.11473;-2.14433;-0.453538;
1.07894;-1.54772;0.308663;-4.15608;-2.88148;0.0541567;-0.959871;-1.52706;-2.18002;-1.74197;1.56961;1.56983;0.0246203;-0.227286;0.0385608;-1.13112;-2.17648;-0.435436;
1.10143;-1.58158;0.381247;-4.24315;-2.9787;-0.0317712;-0.960158;-1.5268;-2.16028;-1.72463;1.56936;1.57007;0.0325461;-0.238818;0.0412017;-1.14831;-2.2083;-0.417131;
1.23816;-1.76615;0.438118;-4.74678;-3.34326;-0.0243568;-0.960099;-1.52713;-2.13787;-1.70291;1.56986;1.57026;0.0421146;-0.252213;0.0444258;-1.16829;-2.24578;-0.395956;
1.43416;-2.04091;0.622455;-5.48794;-3.84482;0.0172122;-0.959979;-1.5274;-2.11327;-1.67457;1.56994;1.56976;0.0532573;-0.268023;0.0483543;-1.19109;-2.29117;-0.369432;
1.39987;-1.99898;0.879765;-5.39123;-3.77356;0.0101845;-0.959835;-1.52742;-2.05806;-1.6213;1.56968;1.56984;0.0764328;-0.301143;0.0610268;-1.23879;-2.38311;-0.311292;
1.387;-1.97222;1.00725;-5.39784;-3.80021;-0.00174033;-0.959739;-1.52673;-2.0312;-1.5941;1.57012;1.56971;0.0879722;-0.31734;0.0687653;-1.26269;-2.42935;-0.28132;release send;
1.3526;-1.92186;1.11527;-5.33646;-3.75016;0.00699946;-0.959811;-1.52606;-2.00502;-1.56945;1.56993;1.5698;0.0986142;-0.332648;0.0772767;-1.28523;-2.47225;-0.251488;ack recived;
1.31525;-1.88193;1.17807;-5.25182;-3.68648;-0.0142912;-0.959847;-1.5257;-1.97945;-1.54423;1.56962;1.56978;0.109061;-0.347718;0.0863314;-1.30727;-2.51468;-0.220844;ack recived;
1.3097;-1.87102;1.2867;-5.28048;-3.70584;-0.00806765;-0.959907;-1.52605;-1.95354;-1.51794;1.56964;1.56979;0.119692;-0.362911;0.09612;-1.32968;-2.55745;-0.189299;ack recived;
1.28967;-1.84243;1.38901;-5.27932;-3.69981;-0.00335174;-0.959871;-1.52658;-1.92744;-1.49157;1.56976;1.56976;0.130275;-0.377929;0.106779;-1.35182;-2.6001;-0.156889;ack recived;
1.25558;-1.79379;1.47669;-5.22551;-3.66234;-0.00342118;-0.959835;-1.52696;-1.90163;-1.46608;1.56973;1.5697;0.140427;-0.392405;0.118185;-1.37329;-2.64159;-0.123978;ack recived;
1.22314;-1.74702;1.58514;-5.22332;-3.66058;-0.00250852;-0.959859;-1.52702;-1.87599;-1.44083;1.56969;1.56977;0.150269;-0.406478;0.130454;-1.3948;-2.68257;-0.090159;ack recived;
1.19709;-1.70626;1.68699;-5.25368;-3.68481;0.000544431;-0.959823;-1.52712;-1.8503;-1.4152;1.56981;1.56976;0.160011;-0.420292;0.143548;-1.41616;-2.72368;-0.0553112;ack recived;
1.16929;-1.66392;1.795;-5.26859;-3.7021;0.000447896;-0.959787;-1.52707;-1.82465;-1.38894;1.56984;1.56976;0.169565;-0.433882;0.157538;-1.43762;-2.76497;-0.0187885;ack recived;
1.12969;-1.60765;1.88806;-5.25274;-3.69041;0.000778885;-0.959823;-1.52703;-1.79885;-1.36333;1.56986;1.56973;0.178738;-0.446985;0.172328;1.43983;2.76908;-0.0182112;ack recived;
1.04188;-1.48687;2.06987;-5.23496;-3.67019;-0.00101539;-0.959895;-1.52685;-1.74758;-1.3124;1.56963;1.56972;0.195983;-0.471756;0.204015;1.39758;2.68739;-0.0896722;ack recived;
0.953039;-1.3623;2.2388;-5.24057;-3.67458;-0.00347999;-0.959835;-1.52683;-1.69651;-1.26098;1.56992;1.56976;0.212095;-0.494554;0.238436;1.35429;2.60412;-0.156528;ack recived;
0.902679;-1.28974;2.30784;-5.22635;-3.66451;-0.00256485;-0.959847;-1.52688;-1.67116;-1.23518;1.56976;1.56974;0.219494;-0.505196;0.25653;1.33259;2.56224;-0.18883;ack recived;
